BlockSize GridSize GPUonly TotalGPU TotalCPU SpeedUp Error
2 10 295.340759 363.163574 44.598209 0.122805 1.499640771766721e-04
2 100 32.428543 92.106720 43.863487 0.476225 2.486309513297319e-06
2 1000 11.540416 77.117348 44.228065 0.573516 4.999388801428512e-07
2 10000 9.574976 74.759743 43.853214 0.586589 1.563127197569947e-06
4 10 163.586365 236.509308 43.874912 0.185510 4.022568464509981e-05
4 100 16.637632 81.492027 43.730785 0.536627 7.267554713370300e-07
4 1000 5.651136 65.252159 43.803776 0.671300 9.283373126992048e-08
4 10000 5.013344 65.079330 43.829216 0.673474 1.852904745475707e-06
8 10 80.853249 145.495102 43.901920 0.301742 1.118633417274174e-05
8 100 8.912800 68.712196 43.851551 0.638192 4.075898895821919e-08
8 1000 3.491744 63.476547 43.920097 0.691911 1.400746342278510e-07
8 10000 2.918176 62.829247 43.764767 0.696567 2.207033417613357e-06
16 10 40.877983 105.310081 43.966881 0.417499 2.830146636630412e-06
16 100 4.506016 64.818176 43.830273 0.676203 2.023930029077965e-07
16 1000 1.800608 61.368992 43.876705 0.714965 1.911718527533310e-07
16 10000 1.552704 61.547169 43.835777 0.712231 1.552439752014622e-06
32 10 20.851681 80.361694 43.859745 0.545779 4.850338556737045e-07
32 100 2.323584 62.394978 43.745983 0.701114 4.403012925084176e-08
32 1000 1.188160 60.762527 43.837345 0.721454 2.854292851804164e-07
32 10000 1.157344 61.149376 43.847584 0.717057 1.254120138243898e-06
64 10 10.568608 75.161346 43.891266 0.583961 2.472767421332878e-07
64 100 1.348576 61.481148 43.835552 0.712992 1.015703071165853e-07
64 1000 1.109600 60.665123 43.838047 0.722624 3.206794023911160e-07
64 10000 1.091392 61.472385 43.745377 0.711626 1.126898452621649e-06
128 10 5.387840 64.842590 43.836800 0.676049 1.535856001264691e-07
128 100 1.129536 61.061470 43.833218 0.717854 3.249413658910127e-08
128 1000 1.090592 61.223328 43.892288 0.716921 3.686429255024490e-08
128 10000 1.082208 61.615005 43.814785 0.711106 3.041274745136187e-07
256 10 2.847936 62.749981 43.831905 0.698517 2.381739009694926e-08
256 100 1.102944 60.773949 43.733345 0.719607 2.129689466954276e-09
256 1000 1.098176 61.102718 43.854496 0.717718 7.095324999202245e-08
256 10000 1.087104 62.993439 43.929474 0.697366 1.946510529742011e-07
512 10 1.751904 62.843937 43.967968 0.699637 1.212543185046407e-08
512 100 1.093696 63.424225 43.862591 0.691575 7.703084080837226e-08
512 1000 1.117280 62.556961 43.848736 0.700941 5.088094069396111e-08
512 10000 1.126048 63.262753 43.727455 0.691204 1.862734480294647e-06
1024 10 1.191200 63.100163 43.822239 0.694487 2.615304707849075e-08
1024 100 1.094400 62.922558 43.775616 0.695706 1.302521072692986e-07
1024 1000 1.118816 62.715618 44.215073 0.705009 8.006239415973818e-08
1024 10000 2.014272 63.775105 43.870079 0.687887 8.211838226049457e-07
