m nb Bjk_ave errorJK
1024 1 9.10233e-01 9.00334e-04
512 2 9.10233e-01 8.95256e-04
256 4 9.10233e-01 8.89504e-04
128 8 9.10233e-01 8.91149e-04
64 16 9.10233e-01 9.00322e-04
32 32 9.10233e-01 9.09584e-04
16 64 9.10233e-01 8.77854e-04
8 128 9.10233e-01 8.93872e-04
4 256 9.10233e-01 9.99717e-04
2 512 9.10233e-01 1.19775e-03
