m nb Bjk_ave errorJK
1024 1 -1.74322e+00 1.72567e-03
512 2 -1.74322e+00 1.73640e-03
256 4 -1.74322e+00 1.72959e-03
128 8 -1.74322e+00 1.74597e-03
64 16 -1.74322e+00 1.76136e-03
32 32 -1.74322e+00 1.79203e-03
16 64 -1.74322e+00 1.82870e-03
8 128 -1.74322e+00 1.91896e-03
4 256 -1.74322e+00 1.78734e-03
2 512 -1.74322e+00 1.58359e-03
