m nb Bjk_ave errorJK
1024 1 -1.74338e+00 1.72514e-03
512 2 -1.74338e+00 1.74137e-03
256 4 -1.74338e+00 1.75077e-03
128 8 -1.74338e+00 1.75920e-03
64 16 -1.74338e+00 1.76453e-03
32 32 -1.74338e+00 1.73640e-03
16 64 -1.74338e+00 1.74063e-03
8 128 -1.74338e+00 1.73020e-03
4 256 -1.74338e+00 1.62276e-03
2 512 -1.74338e+00 1.39287e-03
