m nb Bjk_ave errorJK
1024 1 -1.74360e+00 1.72458e-03
512 2 -1.74360e+00 1.71308e-03
256 4 -1.74360e+00 1.70632e-03
128 8 -1.74360e+00 1.70256e-03
64 16 -1.74360e+00 1.70003e-03
32 32 -1.74360e+00 1.72207e-03
16 64 -1.74360e+00 1.70750e-03
8 128 -1.74360e+00 1.78636e-03
4 256 -1.74360e+00 1.90056e-03
2 512 -1.74360e+00 2.19736e-03
