m nb Bjk_ave errorJK
1024 1 9.10190e-01 9.00581e-04
512 2 9.10190e-01 9.10883e-04
256 4 9.10190e-01 9.15763e-04
128 8 9.10190e-01 9.12168e-04
64 16 9.10190e-01 9.12472e-04
32 32 9.10190e-01 8.95798e-04
16 64 9.10190e-01 8.68840e-04
8 128 9.10190e-01 8.66446e-04
4 256 9.10190e-01 7.97396e-04
2 512 9.10190e-01 6.84473e-04
