N BlockSize GridSize MAGPU MAGPUerror MACPU MACPUerror SpeedUp
81920000 2 10 2.44990e-01 3.81553e-05 2.42826e-01 +- 3.79800e-05 9.495
81920000 2 100 2.42850e-01 3.79838e-05 2.42826e-01 +- 3.79800e-05 89.483
81920000 2 1000 2.42855e-01 3.79846e-05 2.42826e-01 +- 3.79801e-05 177.822
81920000 2 10000 2.42852e-01 3.79841e-05 2.42825e-01 +- 3.79798e-05 190.727
81920000 2 100000 2.42832e-01 3.79829e-05 2.42823e-01 +- 3.79796e-05 168.750
81920000 4 10 2.42896e-01 3.79876e-05 2.42823e-01 +- 3.79796e-05 18.841
81920000 4 100 2.42856e-01 3.79847e-05 2.42824e-01 +- 3.79797e-05 176.596
81920000 4 1000 2.42856e-01 3.79847e-05 2.42824e-01 +- 3.79797e-05 325.568
81920000 4 10000 2.42852e-01 3.79841e-05 2.42824e-01 +- 3.79797e-05 352.297
81920000 4 100000 2.42839e-01 3.79832e-05 2.42827e-01 +- 3.79802e-05 47.682
81920000 8 10 2.42850e-01 3.79838e-05 2.42823e-01 +- 3.79796e-05 37.465
81920000 8 100 2.42853e-01 3.79842e-05 2.42826e-01 +- 3.79800e-05 328.985
81920000 8 1000 2.42853e-01 3.79842e-05 2.42826e-01 +- 3.79800e-05 616.104
81920000 8 10000 2.42852e-01 3.79841e-05 2.42827e-01 +- 3.79801e-05 650.451
81920000 8 100000 2.42837e-01 3.79829e-05 2.42825e-01 +- 3.79798e-05 27.452
81920000 16 10 2.42856e-01 3.79847e-05 2.42825e-01 +- 3.79800e-05 74.101
81920000 16 100 2.42852e-01 3.79841e-05 2.42827e-01 +- 3.79802e-05 631.754
81920000 16 1000 2.42855e-01 3.79845e-05 2.42825e-01 +- 3.79799e-05 1059.474
81920000 16 10000 2.42853e-01 3.79843e-05 2.42827e-01 +- 3.79802e-05 1169.342
81920000 16 100000 2.42840e-01 3.79831e-05 2.42823e-01 +- 3.79796e-05 17.007
81920000 32 10 2.42853e-01 3.79842e-05 2.42826e-01 +- 3.79800e-05 147.298
81920000 32 100 2.42854e-01 3.79844e-05 2.42825e-01 +- 3.79799e-05 1205.469
81920000 32 1000 2.42856e-01 3.79847e-05 2.42828e-01 +- 3.79804e-05 1586.860
81920000 32 10000 2.42857e-01 3.79849e-05 2.42826e-01 +- 3.79800e-05 341.619
81920000 32 100000 2.42837e-01 3.79837e-05 2.42826e-01 +- 3.79800e-05 8.057
81920000 64 10 2.42851e-01 3.79840e-05 2.42825e-01 +- 3.79799e-05 281.645
81920000 64 100 2.42856e-01 3.79846e-05 2.42824e-01 +- 3.79797e-05 2030.022
81920000 64 1000 2.42854e-01 3.79843e-05 2.42825e-01 +- 3.79798e-05 2334.311
81920000 64 10000 2.42854e-01 3.79843e-05 2.42825e-01 +- 3.79799e-05 62.052
81920000 64 100000 2.42832e-01 3.79835e-05 2.42827e-01 +- 3.79802e-05 2.869
81920000 128 10 2.42854e-01 3.79844e-05 2.42827e-01 +- 3.79802e-05 501.892
81920000 128 100 2.42853e-01 3.79842e-05 2.42824e-01 +- 3.79798e-05 2474.784
81920000 128 1000 2.42852e-01 3.79841e-05 2.42825e-01 +- 3.79798e-05 2274.442
81920000 128 10000 2.42855e-01 3.79846e-05 2.42827e-01 +- 3.79801e-05 23.245
81920000 128 100000 2.42846e-01 3.79856e-05 2.42828e-01 +- 3.79803e-05 1.138
81920000 256 10 2.42856e-01 3.79847e-05 2.42826e-01 +- 3.79800e-05 994.569
81920000 256 100 2.42852e-01 3.79840e-05 2.42827e-01 +- 3.79802e-05 2210.940
81920000 256 1000 2.42854e-01 3.79844e-05 2.42823e-01 +- 3.79795e-05 1823.689
81920000 256 10000 2.42858e-01 3.79849e-05 2.42827e-01 +- 3.79801e-05 10.308
81920000 256 100000 2.42886e-01 3.79915e-05 2.42821e-01 +- 3.79793e-05 0.516
81920000 512 10 2.42853e-01 3.79842e-05 2.42824e-01 +- 3.79798e-05 1646.144
81920000 512 100 2.42853e-01 3.79842e-05 2.42824e-01 +- 3.79797e-05 2460.580
81920000 512 1000 2.42854e-01 3.79843e-05 2.42823e-01 +- 3.79795e-05 92.024
81920000 512 10000 2.42864e-01 3.79857e-05 2.42826e-01 +- 3.79800e-05 4.116
81920000 512 100000 2.42945e-01 3.80061e-05 2.42824e-01 +- 3.79797e-05 0.245
81920000 1024 10 2.42852e-01 3.79841e-05 2.42825e-01 +- 3.79799e-05 2013.320
81920000 1024 100 2.42849e-01 3.79836e-05 2.42827e-01 +- 3.79802e-05 2087.501
81920000 1024 1000 2.42855e-01 3.79845e-05 2.42824e-01 +- 3.79797e-05 31.076
81920000 1024 10000 2.42880e-01 3.79879e-05 2.42824e-01 +- 3.79797e-05 1.505
81920000 1024 100000 nan nan nan nan nan
