N BlockSize GridSize SSGPU SSGPUerror SSCPU SSCPUerror SpeedUp
81920000 2 10 2.42869e-01 3.84955e-05 2.42857e-01 +- 3.84942e-05 2.576
81920000 2 100 2.42845e-01 3.84922e-05 2.42856e-01 +- 3.84942e-05 24.159
81920000 2 1000 2.42860e-01 3.84947e-05 2.42856e-01 +- 3.84942e-05 46.780
81920000 2 10000 2.42851e-01 3.84933e-05 2.42855e-01 +- 3.84939e-05 53.446
81920000 2 100000 2.42845e-01 3.84922e-05 2.42862e-01 +- 3.84950e-05 43.823
81920000 4 10 2.42849e-01 3.84928e-05 2.42848e-01 +- 3.84929e-05 5.138
81920000 4 100 2.42860e-01 3.84947e-05 2.42845e-01 +- 3.84924e-05 45.985
81920000 4 1000 2.42857e-01 3.84943e-05 2.42859e-01 +- 3.84948e-05 93.495
81920000 4 10000 2.42855e-01 3.84938e-05 2.42871e-01 +- 3.84968e-05 98.206
81920000 4 100000 2.42846e-01 3.84927e-05 2.42857e-01 +- 3.84943e-05 10.470
81920000 8 10 2.42860e-01 3.84947e-05 2.42864e-01 +- 3.84956e-05 10.200
81920000 8 100 2.42842e-01 3.84916e-05 2.42851e-01 +- 3.84932e-05 97.799
81920000 8 1000 2.42850e-01 3.84932e-05 2.42862e-01 +- 3.84951e-05 152.276
81920000 8 10000 2.42849e-01 3.84931e-05 2.42858e-01 +- 3.84945e-05 181.248
81920000 8 100000 2.42848e-01 3.84927e-05 2.42862e-01 +- 3.84951e-05 6.010
81920000 16 10 2.42861e-01 3.84949e-05 2.42852e-01 +- 3.84933e-05 20.158
81920000 16 100 2.42851e-01 3.84934e-05 2.42851e-01 +- 3.84934e-05 169.555
81920000 16 1000 2.42849e-01 3.84929e-05 2.42853e-01 +- 3.84938e-05 344.782
81920000 16 10000 2.42859e-01 3.84946e-05 2.42858e-01 +- 3.84947e-05 328.023
81920000 16 100000 2.42849e-01 3.84930e-05 2.42862e-01 +- 3.84950e-05 3.737
81920000 32 10 2.42838e-01 3.84908e-05 2.42860e-01 +- 3.84947e-05 39.287
81920000 32 100 2.42854e-01 3.84936e-05 2.42868e-01 +- 3.84961e-05 388.317
81920000 32 1000 2.42848e-01 3.84929e-05 2.42845e-01 +- 3.84922e-05 578.593
81920000 32 10000 2.42853e-01 3.84937e-05 2.42858e-01 +- 3.84945e-05 76.740
81920000 32 100000 2.42850e-01 3.84933e-05 2.42847e-01 +- 3.84928e-05 1.765
81920000 64 10 2.42852e-01 3.84932e-05 2.42851e-01 +- 3.84932e-05 77.395
81920000 64 100 2.42859e-01 3.84948e-05 2.42848e-01 +- 3.84927e-05 558.244
81920000 64 1000 2.42852e-01 3.84934e-05 2.42848e-01 +- 3.84929e-05 659.919
81920000 64 10000 2.42859e-01 3.84945e-05 2.42854e-01 +- 3.84939e-05 13.636
81920000 64 100000 2.42855e-01 3.84937e-05 2.42850e-01 +- 3.84931e-05 0.630
81920000 128 10 2.42835e-01 3.84907e-05 2.42856e-01 +- 3.84942e-05 144.855
81920000 128 100 2.42851e-01 3.84935e-05 2.42849e-01 +- 3.84929e-05 667.042
81920000 128 1000 2.42857e-01 3.84943e-05 2.42852e-01 +- 3.84936e-05 582.544
81920000 128 10000 2.42855e-01 3.84939e-05 2.42857e-01 +- 3.84944e-05 5.124
81920000 128 100000 2.42847e-01 3.84924e-05 2.42857e-01 +- 3.84944e-05 0.250
81920000 256 10 2.42845e-01 3.84924e-05 2.42851e-01 +- 3.84934e-05 262.048
81920000 256 100 2.42843e-01 3.84920e-05 2.42858e-01 +- 3.84945e-05 597.000
81920000 256 1000 2.42843e-01 3.84919e-05 2.42840e-01 +- 3.84916e-05 410.428
81920000 256 10000 2.42851e-01 3.84933e-05 2.42852e-01 +- 3.84935e-05 2.261
81920000 256 100000 2.42849e-01 3.84930e-05 2.42859e-01 +- 3.84946e-05 0.113
81920000 512 10 2.42844e-01 3.84923e-05 2.42852e-01 +- 3.84936e-05 419.917
81920000 512 100 2.42854e-01 3.84940e-05 2.42842e-01 +- 3.84918e-05 622.630
81920000 512 1000 2.42850e-01 3.84931e-05 2.42854e-01 +- 3.84938e-05 20.074
81920000 512 10000 2.42849e-01 3.84928e-05 2.42859e-01 +- 3.84948e-05 0.903
81920000 512 100000 2.42850e-01 3.84930e-05 2.42847e-01 +- 3.84928e-05 0.054
81920000 1024 10 2.42863e-01 3.84953e-05 2.42846e-01 +- 3.84925e-05 539.653
81920000 1024 100 2.42854e-01 3.84938e-05 2.42854e-01 +- 3.84938e-05 540.555
81920000 1024 1000 2.42847e-01 3.84927e-05 2.42849e-01 +- 3.84929e-05 6.808
81920000 1024 10000 2.42852e-01 3.84932e-05 2.42862e-01 +- 3.84951e-05 0.329
81920000 1024 100000 nan nan nan nan nan
